Series,Number,Name,Address
0,945119117,LARISSA CASTRO BRASIL,PRACA TIPOGRAFO MARCOS VIEIRA 952
1,997527252,MATIAS DANIEL PADILHA BENTO BENTO,AVENIDA SARGENTO MARCOS CASTRO 894
2,915957133,SAMANTA LUANA BRAGA BARROS SANTOS,ALAMEDA PROFESSOR DANIEL LEAL 701
3,983847768,JAQUELINE LARISSA BRASIL DUTRA,RUA DOUTOR GUSTAVO BRITO 444
4,916904711,LUIZ GABRIEL CARDOSO BRASIL,PRACA PROFESSOR LUIZ ANDRADE 899
5,930897094,GUSTAVO FRANCA PINHO BARRETO,ALAMEDA  MATIAS BAHR 421
6,935509818,RACHEL JULIA BARRETO NASCIMENTO,TRAVESSA DOUTOR GABRIEL LINHARES 679
7,983084760,LEONARDO FRANCA PRADO CARVALHO,RUA SARGENTO VINICIUS MONTEIRO 962
8,900407877,MARIA ARAUJO JUSTINO MACHADO,PRACA PROFESSOR BRUNO BRASIL 339
9,977022873,BRUNO LUIZ BARROS,RUA PROFESSOR LUCAS ROCHA 123
10,996126144,RAQUEL SALES PINTO,PRACA SARGENTO ALFREDO BARRETO 515
11,957926377,LUCIA JAQUELINE CANDIDO PAIVA,PRACA SARGENTO DANIEL FREITAS 876
12,958175286,LUIZ LEONARDO MARTINS PRADO,PRACA SARGENTO LUIZ BRASIL 980
13,951950470,RICARDO BRUNO SALES PEREIRA LOPES,PRACA TIPOGRAFO CARLOS BRAGA 495
14,933932209,RAFAEL SOARES,RUA  JOAO PACHECO 860
15,987088228,AMANDA RAQUEL BAHR,PRACA MAJOR LUIZ MORAES 421
16,956570073,PAULO MACHADO NEVES FAGUNDES,TRAVESSA  THIAGO PAIVA 48
17,948714629,MATIAS CANDIDO AMARAL MEDEIROS,AVENIDA MAJOR MATIAS SILVEIRA 791
18,976759705,CARLOS PEREIRA NASCIMENTO,ALAMEDA  BRUNO MEDEIROS 618
19,966893644,RAFAEL FREITAS PINTO,AVENIDA SARGENTO GABRIEL SANTOS 906
20,982373136,MARCOS ALESSANDRO VARGAS,RUA DESEMBARGADOR LUCAS MONTEIRO 186
21,933065972,RAFAEL CAMPOS VASCONCELOS RIBEIRO,AVENIDA DOUTOR PEDRO PINTO 457
22,981285835,JOSE NASCIMENTO BAHR,PRACA DESEMBARGADOR RICARDO VIEIRA 190
